======================================================
  RELATÓRIO: ASSALTO À CARAVANA (mission_3)
  Min Heróis: 3
  Inimigos: 3x (HP:6 ATK:2), 2x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Ladino + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 4.9                | 2.6                | 0.0%               |
| Ladino + Curandeiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 5.4                | 3.0                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro                | 100.0%             | 0.0%               | 0.0%               | 3.5                | 1.4                | 4.6%               |
| Arqueiro + Arqueiro + Mago                    | 100.0%             | 0.0%               | 0.0%               | 4.3                | 2.4                | 0.6%               |
| Arqueiro + Arqueiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 4.4                | 2.0                | 0.6%               |
| Arqueiro + Mago + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.0                | 2.2                | 0.2%               |
| Arqueiro + Mago + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 4.6                | 2.4                | 0.2%               |
| Arqueiro + Curandeiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 5.1                | 2.5                | 0.5%               |
| Mago + Mago + Mago                            | 100.0%             | 0.0%               | 0.0%               | 5.8                | 5.6                | 11.7%              |
| Mago + Mago + Curandeiro                      | 100.0%             | 0.0%               | 0.0%               | 6.8                | 2.4                | 1.2%               |
| Mago + Curandeiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 6.1                | 2.6                | 3.9%               |
| Curandeiro + Curandeiro + Curandeiro          | 100.0%             | 0.0%               | 0.0%               | 6.6                | 6.3                | 0.0%               |


### ESTÁGIO: Dia 5 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro             | 98.8%              | 0.1%               | 1.0%               | 5.5                | 7.2                | 1.4%               |
| Guerreiro + Guerreiro + Tanque                | 97.4%              | 0.0%               | 2.6%               | 7.7                | 13.2               | 3.3%               |
| Guerreiro + Guerreiro + Ladino                | 100.0%             | 0.0%               | 0.0%               | 4.7                | 5.3                | 0.1%               |
| Guerreiro + Guerreiro + Arqueiro              | 100.0%             | 0.0%               | 0.0%               | 4.5                | 4.5                | 0.0%               |
| Guerreiro + Guerreiro + Mago                  | 100.0%             | 0.0%               | 0.0%               | 5.8                | 8.3                | 0.4%               |
| Guerreiro + Guerreiro + Curandeiro            | 99.1%              | 0.0%               | 0.9%               | 6.8                | 7.3                | 0.0%               |
| Guerreiro + Tanque + Tanque                   | 76.8%              | 0.0%               | 23.2%              | 11.9               | 24.2               | 15.2%              |
| Guerreiro + Tanque + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 5.6                | 8.1                | 0.1%               |
| Guerreiro + Tanque + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 5.5                | 7.9                | 0.0%               |
| Guerreiro + Tanque + Mago                     | 100.0%             | 0.0%               | 0.0%               | 6.3                | 10.4               | 0.9%               |
| Guerreiro + Tanque + Curandeiro               | 89.6%              | 0.0%               | 10.4%              | 9.5                | 12.6               | 1.4%               |
| Guerreiro + Ladino + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 4.2                | 3.5                | 0.0%               |
| Guerreiro + Ladino + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 4.1                | 3.4                | 0.0%               |
| Guerreiro + Ladino + Mago                     | 100.0%             | 0.0%               | 0.0%               | 4.5                | 4.3                | 0.0%               |
| Guerreiro + Ladino + Curandeiro               | 98.6%              | 0.0%               | 1.4%               | 6.0                | 5.6                | 0.2%               |
| Guerreiro + Arqueiro + Arqueiro               | 100.0%             | 0.0%               | 0.0%               | 4.0                | 3.2                | 0.1%               |
| Guerreiro + Arqueiro + Mago                   | 100.0%             | 0.0%               | 0.0%               | 5.3                | 5.9                | 0.1%               |
| Guerreiro + Arqueiro + Curandeiro             | 100.0%             | 0.0%               | 0.0%               | 5.3                | 4.5                | 0.0%               |
| Guerreiro + Mago + Mago                       | 100.0%             | 0.0%               | 0.0%               | 6.1                | 8.0                | 0.7%               |
| Guerreiro + Mago + Curandeiro                 | 100.0%             | 0.0%               | 0.0%               | 7.2                | 6.6                | 0.1%               |
