======================================================
  RELATÓRIO: EXPEDIÇÃO (mission_2)
  Min Heróis: 2
  Inimigos: 2x (HP:6 ATK:2), 1x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Guerreiro + Mago + Curandeiro                 | 100.0%             | 0.0%               | 0.0%               | 3.6                | 2.1                | 0.0%               |
| Guerreiro + Curandeiro + Curandeiro           | 99.8%              | 0.0%               | 0.2%               | 7.4                | 4.4                | 0.0%               |
| Tanque + Tanque + Tanque                      | 99.8%              | 0.0%               | 0.2%               | 7.3                | 8.6                | 0.0%               |
| Tanque + Tanque + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 3.5                | 2.1                | 0.0%               |
| Tanque + Tanque + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.9                | 0.0%               |
| Tanque + Tanque + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.2                | 3.1                | 0.0%               |
| Tanque + Tanque + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 7.2                | 8.5                | 0.0%               |
| Tanque + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 2.6                | 1.0                | 0.0%               |
| Tanque + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.9                | 0.0%               |
| Tanque + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 2.7                | 1.2                | 0.0%               |
| Tanque + Ladino + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 3.9                | 2.6                | 0.0%               |
| Tanque + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.7                | 0.0%               |
| Tanque + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.8                | 0.0%               |
| Tanque + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.6                | 0.0%               |
| Tanque + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 3.0                | 1.4                | 0.0%               |
| Tanque + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 5.9                | 5.3                | 0.0%               |
| Tanque + Curandeiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 7.7                | 7.4                | 0.0%               |
| Ladino + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.7                | 0.0%               |
| Ladino + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 2.1                | 0.6                | 0.0%               |
| Ladino + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 2.2                | 0.8                | 0.0%               |
| Ladino + Ladino + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 2.9                | 1.0                | 0.1%               |
| Ladino + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 1.9                | 0.6                | 0.1%               |
| Ladino + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 2.1                | 0.9                | 0.0%               |
| Ladino + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 2.6                | 1.1                | 0.0%               |
| Ladino + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.1                | 0.0%               |
| Ladino + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 2.6                | 1.0                | 0.0%               |
| Ladino + Curandeiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 4.4                | 2.3                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro                | 100.0%             | 0.0%               | 0.0%               | 2.0                | 0.8                | 0.0%               |
| Arqueiro + Arqueiro + Mago                    | 100.0%             | 0.0%               | 0.0%               | 2.2                | 0.9                | 0.0%               |
| Arqueiro + Arqueiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.7                | 0.2%               |
| Arqueiro + Mago + Mago                        | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.0                | 0.0%               |
| Arqueiro + Mago + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.7                | 0.0%               |
| Arqueiro + Curandeiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.3                | 0.0%               |
| Mago + Mago + Mago                            | 100.0%             | 0.0%               | 0.0%               | 2.4                | 1.0                | 0.5%               |
| Mago + Mago + Curandeiro                      | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.2                | 0.0%               |
| Mago + Curandeiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 3.2                | 1.2                | 0.0%               |
| Curandeiro + Curandeiro + Curandeiro          | 100.0%             | 0.0%               | 0.0%               | 5.4                | 3.3                | 0.0%               |


### ESTÁGIO: Dia 3 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro                         | 99.7%              | 0.1%               | 0.2%               | 3.9                | 4.0                | 0.3%               |
| Guerreiro + Tanque                            | 99.8%              | 0.0%               | 0.2%               | 5.2                | 8.1                | 0.9%               |
| Guerreiro + Ladino                            | 100.0%             | 0.0%               | 0.0%               | 3.2                | 2.3                | 0.0%               |
| Guerreiro + Arqueiro                          | 100.0%             | 0.0%               | 0.0%               | 2.8                | 2.0                | 0.0%               |
| Guerreiro + Mago                              | 100.0%             | 0.0%               | 0.0%               | 3.4                | 2.7                | 0.0%               |
| Guerreiro + Curandeiro                        | 99.9%              | 0.0%               | 0.1%               | 6.6                | 4.3                | 0.0%               |
| Tanque + Tanque                               | 99.3%              | 0.0%               | 0.7%               | 7.1                | 10.3               | 0.0%               |
| Tanque + Ladino                               | 100.0%             | 0.0%               | 0.0%               | 3.8                | 2.9                | 0.0%               |
| Tanque + Arqueiro                             | 100.0%             | 0.0%               | 0.0%               | 3.6                | 2.6                | 0.1%               |
